X1,X2,X3,X4,Y
56.55,52.54,38.57,59.86,547.59
58.94,51.75,37.23,54.65,578.21
54.16,47.91,28.16,84.9,559.53
40.76,38.28,37.96,75.28,479.05
48.04,47.16,26.55,60.45,500.82
44.09,41.71,24.86,25,427.58
47,45.6,25.45,69.26,463.67
62.97,57.62,28.87,79.44,595.56
65.3,59.35,27.41,86.82,598.37
56.69,55.63,31.23,59.83,566.38
55.49,53.7,25.08,60.35,526
56.77,53.87,36.12,63.36,551.82
49.88,49.95,38.17,82.57,544.32
49.24,44.88,26.03,52.38,482.87
43.26,40.26,18.58,68.31,437.17
49.44,49.02,35.79,56.11,499.57
72.6,72.65,39.11,74.03,737.25
58.69,55.77,28.69,46.68,518.26
46.58,47.61,19.71,75.64,466.77
45.28,41.81,32.13,62.55,523.17
41.36,39.95,42.2,66.64,469.55
53.74,50.71,14.99,77.89,511.66
53.92,48.04,33.82,87.16,550.3
35.57,34.31,27.49,44.55,370.49
54.86,53.99,23.15,85.05,581.31
44.31,41.79,33.99,78.37,510.3
64.27,60.91,19.61,65.58,598.78
51.57,51.78,32.38,91.06,567.83
67.18,61.32,40.51,72.83,622.46
45.42,40.15,31.41,89.4,510.12
47.12,43.46,22.99,61.11,493.73
53,47.95,15.77,57,501.34
60.56,60.22,19.74,88.37,603.47
55.66,53.5,15.27,102.46,593.03
37.66,34.05,42.8,79.51,454.97
51.83,48.01,28,83.37,538.99
50.22,53.43,21.64,62.89,486.41
45.71,42.2,19.61,50.12,424.24
43.52,39.82,21.46,66.61,445.3
67.48,64.71,27.31,92.5,665.6
46.1,45.07,19.74,42.09,446.1
41.54,39.91,43.41,62.57,511.4
56.37,51.74,24.02,41.28,525.12
51.31,46.42,23.74,71.62,500.15
49.24,47.97,32.46,83.11,524.81
57.81,54.81,41.6,51.36,552.35
54.89,48.86,40.59,63.86,530.3
53.62,53.28,26.1,89.89,572.53
59.64,58.21,32.04,68.67,599.64
52.84,49.71,31.19,51.41,512.03
43.83,41.12,34.24,50.26,453.28
46.38,44.52,32.05,39.78,453.97
44.79,41.18,22.45,81.6,473.78
52.1,46.8,19.92,58.81,468.69
39.22,37.9,31.41,85.76,503.46
31.68,27.21,20.53,83.01,398.08
50.88,49.12,40.91,60.1,513.62
36.63,31.92,30.32,62.08,381.98
30.48,28.76,21.79,81.68,367.46
53.73,50.78,27.43,72.24,539.81
42.89,44.31,25.94,74.02,502.15
54.96,50.08,28.95,45.29,523.81
44.69,39.63,37.57,83.47,524.73
38.78,35.55,18.44,56.87,411.21
37.56,33.44,15.06,35.96,361.38
44.85,41.43,32.7,60.75,481.53
47.27,45.74,28.58,76.33,515.43
41.77,41.22,31.31,101.46,511.11
47.19,48.15,33.56,64.41,472.16
34.64,31.43,28.55,50.05,367.14
50.14,52.91,36.4,101.85,632.9
32.06,34.42,22.86,72.4,383.11
48.06,45.25,30.52,66.08,483.28
56.97,49.54,23.35,53.86,530.56
60.92,57.71,20.96,54.94,552.68
67.14,63.93,34.92,92.18,670.07
34.44,28.12,34.55,65.94,423.73
57.59,54.86,14.46,61.93,538.83
62.06,58.56,21.02,62.35,584.62
59.81,55.24,32.34,93.52,607.38
40.71,39.92,38.56,61.16,469
54.12,53.42,24.67,79.42,563.09
68.6,64.2,28.53,73.99,661.22
35.03,33.73,18.69,73.59,418.17
54.76,50.72,50.09,56.84,587.28
61.12,56.49,33.8,79.88,613.79
43.03,41.04,37.16,94.13,531.77
55.83,54.09,35.26,69.22,546.97
39.29,36.2,37.47,56.2,443.57
41.88,35.36,34.86,50.63,436.75
41.83,40.91,27.32,72.86,453.92
51.92,46.13,35.95,65.92,507.74
49.09,46.88,30.63,68.43,508.01
59.54,60.12,40.37,70.18,592.59
40.6,38.53,24.12,47.87,411.51
48.69,43.87,25.67,81.72,512.55
59.61,53.71,35.29,73.51,569.24
55.61,55.17,40.24,68.88,583.5
36.75,34.88,31.16,73.48,451.59
56.65,54.9,24.3,83.89,597.1
45.22,44.81,29.05,70.8,508.55
53.85,51.06,26.01,57.25,512.31
53.01,49.74,45.17,87.49,584.39
62.19,57.19,37.19,63.5,591.09
51.17,42.44,40.12,59.12,516.88
31.46,26.85,32.41,46.57,391.19
36.3,34.35,25.56,70.12,438.54
57.31,54.1,39.39,54.29,592.66
47.42,45.85,43.23,62.21,542.4
61.38,58.06,34.66,76.74,581.81
52.73,50.42,29.81,70.5,532.46
42.51,41.96,38.65,85.24,500.54
60.82,56.01,27.03,74.58,611.05
41.93,39.26,36.12,63.94,493.9
29.47,24.79,24.31,65.05,327.78
70.64,69.05,22.24,62.39,641.56
30.89,29.42,34.53,79.7,416.75
56.36,54.53,32.7,70.32,560.14
59.39,59.5,45.23,63.84,601.68
51.47,51.06,27.76,82.67,535.04
