Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-24395200005,01/07/2020,5643,CONOCO / LE GRAND,806 W MAIN ST,LE GRAND,50142,POINT (-92.78465400000002 42.006665),64,MARSHALL,1031100,AMERICAN VODKAS,300,MCCORMICK DISTILLING CO.,36908,MCCORMICK 80PRF VODKA PET,6,"1,750",$7.47,$11.21,3,$33.63,5.25,1.38
INV-24394800046,01/07/2020,2544,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,MARSHALL,1062400,SPICED RUM,260,DIAGEO AMERICAS,43337,CAPTAIN MORGAN ORIGINAL SPICED,12,"1,000",$11.75,$17.63,12,$211.56,12,3.17
INV-24394800050,01/07/2020,2544,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,MARSHALL,1031100,AMERICAN VODKAS,434,LUXCO INC,36307,HAWKEYE VODKA,12,"1,000",$4.05,$6.08,12,$72.96,12,3.17
INV-24394100040,01/07/2020,5444,MARSHALL BEER WINE SPIRITS,11 N 3RD AVE,MARSHALLTOWN,50158,POINT (-92.908013 42.050021),64,MARSHALL,1081200,CREAM LIQUEURS,260,DIAGEO AMERICAS,68036,BAILEYS ORIGINAL IRISH CREAM,12,750,$16.49,$24.74,1,$20.25,0.75,0.19
INV-24394900013,01/07/2020,4205,FAREWAY STORES #467 / MARSHALLTOWN,102 WEST ANSON ST,MARSHALLTOWN,50158,POINT (-92.914409 42.038157000000005),64,MARSHALL,1012300,SINGLE MALT SCOTCH,370,PERNOD RICARD USA,5036,GLENLIVET 12YR,12,750,$24.48,$36.72,3,$110.16,2.25,0.59
INV-24394100002,01/07/2020,5444,MARSHALL BEER WINE SPIRITS,11 N 3RD AVE,MARSHALLTOWN,50158,POINT (-92.908013 42.050021),64,MARSHALL,1031100,AMERICAN VODKAS,260,DIAGEO AMERICAS,37997,SMIRNOFF 80PRF,12,"1,000",$9.25,$13.88,12,$166.56,12,3.17
INV-24394600026,01/07/2020,5524,EAST SIDE LIQUOR & GROCERY,1116 E NEVADA ST,MARSHALLTOWN,50158,POINT (-92.893113 42.044345),64,MARSHALL,1031100,AMERICAN VODKAS,300,MCCORMICK DISTILLING CO.,36908,MCCORMICK 80PRF VODKA PET,6,"1,750",$7.47,$11.21,6,$67.26,10.5,2.77
INV-24393800011,01/07/2020,5117,FOOD & GAS MART  /  MARSHALLTOWN,"613, N 3RD AVE",MARSHALLTOWN,50158,POINT (-92.9081 42.057471),64,MARSHALL,1011100,BLENDED WHISKIES,297,LAIRD & COMPANY,23826,FIVE STAR,12,750,$3.50,$5.25,12,$63.00,9,2.37
INV-24394800047,01/07/2020,2544,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,MARSHALL,1062400,SPICED RUM,260,DIAGEO AMERICAS,43336,CAPTAIN MORGAN ORIGINAL SPICED,12,750,$9.06,$13.59,12,$163.08,9,2.37
INV-24394800069,01/07/2020,2544,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,MARSHALL,1082000,IMPORTED CORDIALS & LIQUEURS,619,CAMPARI AMERICA,64996,FRANGELICO LIQUEUR,12,750,$15.50,$23.25,6,$130.50,4.5,1.18
INV-24394800008,01/07/2020,2544,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,MARSHALL,1011100,BLENDED WHISKIES,492,WESTERN SPIRITS BEVERAGE,27433,BIRD DOG PEACH,6,750,$10.00,$15.00,6,$90.00,4.5,1.18
INV-24394100009,01/07/2020,5444,MARSHALL BEER WINE SPIRITS,11 N 3RD AVE,MARSHALLTOWN,50158,POINT (-92.908013 42.050021),64,MARSHALL,1032100,IMPORTED VODKAS,115,CONSTELLATION BRANDS INC,34820,SVEDKA 80PRF,12,750,$8.25,$12.38,12,$148.56,9,2.37
INV-24395000010,01/07/2020,5530,YESWAY #1148 / MARSHALLTOWN,1701 IOWA AVE E,MARSHALLTOWN,50158,POINT (-92.88592 42.006852),64,MARSHALL,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64864,FIREBALL CINNAMON WHISKY,24,375,$5.33,$8.00,72,$576.00,27,7.13
INV-24394100072,01/07/2020,5444,MARSHALL BEER WINE SPIRITS,11 N 3RD AVE,MARSHALLTOWN,50158,POINT (-92.908013 42.050021),64,MARSHALL,1041100,AMERICAN DRY GINS,370,PERNOD RICARD USA,32234,SEAGRAMS EXTRA DRY GIN,24,375,$3.39,$5.09,24,$122.16,9,2.37
INV-24395100026,01/07/2020,3719,WAL-MART 0581 / MARSHALLTOWN,2802 S CENTER ST,MARSHALLTOWN,50158,POINT (-92.91231 42.012918),64,MARSHALL,1071100,COCKTAILS/RTD,395,PROXIMO,58868,JOSE CUERVO AUTHENTIC STRAWBERRY MARGARITA,6,"1,750",$8.74,$13.11,6,$78.66,10.5,2.77
INV-24395100010,01/07/2020,3719,WAL-MART 0581 / MARSHALLTOWN,2802 S CENTER ST,MARSHALLTOWN,50158,POINT (-92.91231 42.012918),64,MARSHALL,1062400,SPICED RUM,395,PROXIMO,46504,KRAKEN BLACK SPICED RUM,12,750,$10.45,$15.68,12,$188.16,9,2.37
INV-24395000002,01/07/2020,5530,YESWAY #1148 / MARSHALLTOWN,1701 IOWA AVE E,MARSHALLTOWN,50158,POINT (-92.88592 42.006852),64,MARSHALL,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38176,TITOS HANDMADE VODKA,12,750,$10.00,$15.00,12,$173.52,9,2.37
INV-24394800052,01/07/2020,2544,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,MARSHALL,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11297,CROWN ROYAL,12,"1,000",$18.89,$28.34,12,$340.08,12,3.17
INV-24393700025,01/07/2020,5416,DEPOT LIQUOR & GROCERY,114 N CENTER ST.,MARSHALLTOWN,50158,POINT (-92.912975 42.051619),64,MARSHALL,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64858,FIREBALL CINNAMON WHISKEY MINI DISPENSER,1,50,$30.00,$45.00,2,$90.00,0.1,0.02
INV-24393500002,01/07/2020,3881,7 RAYOS LIQUOR STORE,120 E MAIN ST,MARSHALLTOWN,50158,POINT (-92.9104 42.049166),64,MARSHALL,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11298,CROWN ROYAL,6,"1,750",$31.99,$47.99,6,$287.94,10.5,2.77
INV-24395200007,01/07/2020,5643,CONOCO / LE GRAND,806 W MAIN ST,LE GRAND,50142,POINT (-92.78465400000002 42.006665),64,MARSHALL,1081400,AMERICAN SCHNAPPS,65,JIM BEAM BRANDS,82786,DEKUYPER BUTTERSHOTS,12,750,$6.50,$9.75,1,$9.75,0.75,0.19
INV-24394000025,01/07/2020,5444,MARSHALL BEER WINE SPIRITS,11 N 3RD AVE,MARSHALLTOWN,50158,POINT (-92.908013 42.050021),64,MARSHALL,1082000,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65251,JAGERMEISTER LIQUEUR MINI,5,50,$29.53,$44.30,1,$44.30,0.05,0.01
INV-24394800048,01/07/2020,2544,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,MARSHALL,1062400,SPICED RUM,260,DIAGEO AMERICAS,1799,CAPTAIN MORGAN ORIGINAL SPICED BARREL,6,"1,750",$18.00,$27.00,18,$486.00,31.5,8.32
INV-24394900011,01/07/2020,4205,FAREWAY STORES #467 / MARSHALLTOWN,102 WEST ANSON ST,MARSHALLTOWN,50158,POINT (-92.914409 42.038157000000005),64,MARSHALL,1022100,MIXTO TEQUILA,421,SAZERAC COMPANY  INC,88766,TORTILLA WHITE,12,750,$6.20,$9.30,3,$27.90,2.25,0.59
